,2014-06-30,2014-07-31,2014-08-28,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-28,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-28,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-28,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-27,2020-12-31,2021-01-29,2021-02-26
BHARTIARTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08136200998015795,0.050341970741333196,-0.19509612901605916,0.15251359835282172,0.09161980148108519,-0.0019990146020546964,-0.039190635480619046,-0.07759609642399372,-0.20649543435708395,0.018028984991698485,,,,
BIOCON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08029910070848321,0.04800924972152693,-0.0905497811706329,0.15752543482716172,-0.11004472798528572,0.0618481477320663,0.06307843774317333,-0.22582959167055447,0.04374145490017549
BOSCHLTD,,,,,,,,0.15137020225173045,0.0509372189451644,-0.07713303050540571,-0.18338908069691523,-0.02058876294559834,-0.14424490290535166,0.06022340314398257,-0.1164858291006377,-0.2268968037140519,-0.008858745351383163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,,,,-0.485199909379598,-0.3244266049474312,-0.3966063953497832,-0.5804565864561987,-0.2746777584093919,,,,-0.3253879699308997,,,-0.4479679011002919,,,,,-0.3918749180441217,-0.5246676112311399,-0.21153440154583633,,,-0.2836754378721433,,-0.34893356951250964,,,-0.39957643884464883,,-0.29530581193655936,,,-0.2091477145987578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19463426560352964,-0.21117070996142645,-0.25205927603421974,-0.22377324937924203,,,,,,,,,,,,
BRITANNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02792053120582506,-0.004079846009132457,-0.03083891811536124,-0.009063132409869043,-0.034899108020776864,-0.2119914099938622,-0.09598083312962867,,-0.077392101056667,-0.03384318952247696,-0.10450397941929603,-0.05405653077134573,,,,,,,,,,,,,,,,0.01722214348165472,-0.0468517035680589,-0.003352923275046058,-0.11527884315548798,,,,
CADILAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1556757723395972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00865828635186947,0.08788273786870772,-0.07648178033409762,0.0452224652714925,0.034736373512348574,0.062045097717216675,0.025780891899215515,-0.06845556702142636,-0.054234775765018256
CANBK,,,,,,,,,,-0.16887868433042375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,,,,,,,,,,,,,-0.0762780021968378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07672156815145886,-0.03848398234336764,-0.021336111230334586,0.07967639224027552,-0.0017411801492868554,-0.040398145894192904
COLPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008561800868874307,-0.006894929388110499,,,,,,,
CONCOR,,,,,,-0.10944972027601026,-0.11048725572679903,-0.06534329799337989,,,,,,-0.11993150693082118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,,,,,,,,,,,,,,,,,-0.15532478595655086,-0.22860896065316447,-0.10762923798302244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12446075296886597,0.039790989898884487,,,-0.0484893264503762,-0.0891959319022413,-0.05115065325518298,,,,,,,,,,,,,-0.04031809137907335,-0.020337203074821068,,,,,,,,
DIVISLAB,0.059531764010538585,,,,,-0.14086260369709958,,,,,,,,,,,,,-0.04133907139131903,-0.06302613453617804,-0.24386725999247985,-0.008140945127010734,,,-0.02531911502145687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06703814434719553,-0.056741468998297157,0.1318375025553401,0.17085435578198713,-0.02552974625708442,0.022369705107366918,0.14005720146273068,0.014801149216244274,-0.13443448374409223,-0.020283281255437064
DLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05238261942067495,-0.07443898500057297,-0.14433305455085935,-0.1459839039355173,0.05898190804261011,,,,,,,,,,,,,,,,,,,,,,,-0.41626087946363555,,,,,,,,,,,
DMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0654248140586612,-0.15788956249539313,0.053689562400969865,,,,,,,,,,,,,-0.06525255187122822,0.0720269964472349,-0.01784058982704386,-0.0012723901926895067,-0.1193407234617669,0.084565250444452,-0.018371877514344673,,,,,
DRREDDY,,,,,,,,,,,,,,,,,,-0.3675065973055723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11132575127992624,-0.07270449052487996,,,,,,,,,,,0.04028244152017805,-0.048666877044766,0.12201531832375853,-0.06754492262747912,0.1852656245464151,-0.07571125053001038,-0.022962113546013303,0.05737232454336914,-0.13449995415426652,-0.038885726326122985
