Date,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASHOKLEY,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BANKBARODA,BANKINDIA,BHARATFORG,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CANBK,CIPLA,COALINDIA,COLPAL,CONCOR,CROMPGREAV,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EXIDEIND,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GSKCONS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,IDBI,IDEA,IDFC,INDHOTEL,INDUSINDBK,INFY,ITC,JINDALSTEL,JPASSOCIAT,JSWSTEEL,KOTAKBANK,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MCDOWELL-N,MPHASIS,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELIANCE,RELINFRA,RPOWER,SAIL,SBIN,SESAGOA,SIEMENS,SRTRANSFIN,SUNPHARMA,TATACHEM,TATAGLOBAL,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,UBL,ULTRACEMCO,UNIONBANK,UNIPHOS,YESBANK,ZEEL,M&MFIN,OIL,WIPRO,SSLT,UPL,INFRATEL,INGVYSYABK,AUROPHARMA,MOTHERSUMI,EICHERMOT,IBULHSGFIN,BRITANNIA,MRF,VEDL,MARICO,SUNDARMFIN,IOC,ABB,BAJFINANCE,BEL,CADILAHC,CASTROLIND,EMAMILTD,HINDZINC,NHPC,PGHH,PIDILITIND,SHREECEM,TATAMTRDVR,TORNTPHARM,INDIGO,PEL,HAVELLS,ICICIPRULI,SUNTV,DMART,ABCAPITAL,GICRE,L&TFH,SBILIFE,BANDHANBNK,BIOCON,HDFCLIFE,ICICIGI,NIACL,HDFCAMC,PAGEIND,BERGEPAINT,NESTLEIND,ADANITRANS,ABBOTINDIA,IGL,NAUKRI,MUTHOOTFIN,SBICARD,ADANIGREEN,ALKEM,LTI,TATACONSUM,INDUSTOWER,JUBLFOOD
2014-05-30,,0.0683911337760339,0.731660300090977,0.22049261123701747,0.1030738405817198,-0.11378458185729537,,0.04795571398964544,0.0731399120197689,0.0732138682921319,0.22966580022544084,0.15824524504878829,0.27727599015840726,-0.14926639984651163,0.5711119564304273,0.08290470389004471,-0.07311582363480917,0.1413633204868481,0.2272699490794978,,-0.30434814832374174,0.07514705956287629,0.009354509299834312,0.010277624959943601,0.25103930501454036,,0.2190915007487827,0.14656361131791457,0.3612428700270825,-0.31685583906682946,0.26396133719078735,-0.1277397501219013,0.027138084806831057,0.22143080164628473,0.0067029147520817215,0.027642625063070088,-0.07648063445210447,-0.0762644259602773,-0.33150132146367706,0.6456636449869716,,0.037578996867191274,0.26692529615915267,0.28434759291249595,0.1790358987969118,-0.02413900439117275,0.07422542424344063,,0.029370471500975968,-0.216688201998931,,-0.07203796752492411,0.2827803910706697,0.002497629027168923,-0.10158713342964494,,0.4763346845575873,0.025789746421786726,0.04213554334987526,0.3418485970183809,0.30175582557164815,0.10512441013526327,0.18620200973927778,0.13779899458866599,-0.12482559427879164,0.33803461944134233,-0.24028728864903917,0.1363157805147384,0.022844249093218104,0.03549021612571922,0.07219260695559039,0.08480796302985953,-0.043084731399998244,,0.14239362120949978,0.12279608992249602,0.11066116842190829,0.14894588954095708,,-0.005826776803711884,0.2263210654464107,0.024345210412843352,,0.16162093931642288,-0.09377431511104521,0.1969525793156619,-0.019222157123758753,,0.28730016232704736,-0.08661066447543161,0.3481232650570936,0.3940318379888118,0.6423427144009332,-0.1330212636381886,0.03226056741675896,0.08092939606529902,-0.31581538162713585,,-0.10040220142879226,0.15794474473067432,-0.024227671049573112,-0.1598336012504565,0.4861226304947236,,0.566882158299549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,0.09865995975059479,0.8950811349915814,0.42171396334855665,0.1743505703029887,-0.14336763629781424,,0.092672703752544,0.3404395850226763,0.034438574514986886,0.28457248015951053,0.3933539758399338,0.40132224752608825,0.3061993383645833,0.8339417745781622,0.16503510669227203,0.3617671738267545,0.3166950044880684,0.39128990237955524,,0.20181457646706671,-0.013994032324040203,0.3197021735129343,0.04275210083511222,0.46039781635925414,,0.3625656570413566,0.19708151552283673,0.26764214993580815,0.1595969333884893,0.10999110315366957,0.15899306885242345,0.37421263254110637,0.21860967595552924,0.06158350004800771,0.011087618900502364,-0.042921666866973275,0.15225976472821812,-0.15773180798785433,0.6157880085708182,,0.16897682407412615,0.37408865191062857,0.4072021892794384,0.5050966329407847,0.04959974954404243,0.2809233502703591,,-0.02423411790026604,0.028064009503352014,,0.1330098006504874,0.1819976314253468,0.05225630263517181,0.32101227733697946,,0.6266275951907433,0.18564032575525924,0.23992116058311708,0.5142891457116062,0.1884032762225346,0.24187679397207063,0.3960653634282446,0.2633355677613705,0.21118683824510406,0.5709176500365535,0.15157846794994687,0.0474481075155719,0.16429022053366757,0.2189680563332622,0.7739068257122335,0.3897301854214164,0.11719556060953257,,0.14325246740180825,0.5148837644004108,0.4787159469855324,0.21955659461357002,,0.38197150842095223,0.5885784815824289,0.2779405175542376,,0.4609889656498261,0.2957297766500779,0.19299355942308496,0.11507709518368792,,0.3957627854368248,0.23315640156037673,0.5822424540918728,0.34997452377116645,0.5996188527707066,0.33551241923837694,0.041918097209286374,0.24301526788358427,0.12286265308313206,,0.22529521774190772,0.13055853596964728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,0.22471893443811816,0.9556213751210312,0.665626225470842,0.28915273002136554,0.058883182526014204,,0.1670708428994414,0.628118010709256,0.17994965429262774,0.46083492364695217,0.4407713401215119,0.47460092817154,0.5107123326998408,1.1395754717589006,-0.02230801099497937,0.4906624350860221,0.4143719632247073,0.6566641868959995,,0.5484493349849353,0.09507122402266631,0.4288196409399193,0.11296083930465917,0.6047036374718986,,0.4254112193893732,0.15957146509914436,0.44324618811327177,0.3615692693539705,0.14001730391510736,0.1725439181321389,0.6481035615503901,0.4614665414856042,0.07431580957328099,-0.011336887550414874,0.039564549091937365,0.25935465242932376,-0.035168537649183707,0.48260015488203456,,0.3065665435542719,0.4003376937982633,0.6133230456119171,0.7220250710112809,0.033439771164404414,0.4763817391871072,,-0.2414983986626664,0.21009078435926903,,0.3955709532199647,0.1115398427979132,-0.03197075388248924,0.4856682421986936,,0.7818653219928715,0.3033666800479491,0.6808508386283982,0.7130810768597744,0.18817469253407998,0.23009756089172634,0.6151516511651309,0.005691796565799766,0.10115822903137922,0.7161594307886323,0.21959292420847415,0.05687385950600561,0.41086460743842174,0.4179144936706475,1.1119484607789891,0.5722081583394998,0.3452055390479089,,0.048774561319208314,0.8679638984028196,0.6756047123463468,0.16125035724295828,,0.3949072162372328,0.8667004497535707,0.46725627714714385,,0.6329364685257037,0.36836517765634735,0.20092090432806173,0.32608921533631474,,0.39520033339680816,0.23798202503476087,0.8959650717521568,0.30295957271562046,0.5500310273972219,0.2929356533352957,0.012757329540712984,0.3444671175743133,0.621077824297887,,0.5270950010603448,0.1719140387643512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,,0.38057087256320754,1.1412660484242128,0.7307099627956006,0.20720830202031365,0.15865989340428144,,0.4109457817750474,0.8651913833713404,0.1437689228043407,0.47192603504542097,0.49780673422775457,0.6671643127040422,0.6775229690663237,1.1053746057288967,0.22053230284091482,0.6842502499085418,0.4903876111752022,0.7928543553401239,,0.713123853836987,0.090622318281386,0.49623846744437666,0.28450446838166327,0.6413911429342729,,0.48926456618996456,0.24924068480885853,0.40856794977637667,0.4235340759323245,0.20971840223669308,0.28577004659358696,0.8660815610360569,0.42043392514363614,0.07920515379071935,0.2506710397827918,0.04255013841512273,0.35234058017912917,0.19897784884232525,0.4144362988157034,,0.34777695613800047,0.2929322681093614,0.6014952992196423,0.8672384840327296,0.10451941731359153,0.6362528299118423,,-0.01735930038936085,0.6704251996203899,,0.45655137184117994,0.10055032493757418,0.16068464370201807,0.22577235666494488,,0.7880094387844582,0.369613833271858,0.5574607709892118,0.7296011470939483,0.400964529408484,0.42840831724081674,0.7078944029787515,0.06906466984493731,0.14058986234853538,0.4503249961009672,0.1440049675249767,0.11097098480782977,0.4931361599008511,0.4084808241840142,0.9678590057092636,0.8182009900495559,0.33511485510571803,,0.09183607650721044,0.635342741565818,0.6257542984371817,0.17348849527138277,,0.3121225225527393,0.6756998754996961,0.48833851331623684,,0.7143827388611823,0.5615037899124393,0.42166264043994983,0.33788450271152265,,0.40498414530045035,0.3013104131918661,0.723078420485991,0.26699166749568193,0.4603281846818385,0.42402861191160357,-0.013836789480962501,0.4992400112231666,0.6585756487297302,,0.8134302600261388,0.2347037901443004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,0.3048424861723013,1.245488722998097,0.7211009168571989,0.14486609592516994,0.23803676737011412,,0.3167612453446299,0.6887875249106908,0.14944502804121038,0.5555386123512804,0.5645865536393883,0.5981028085714932,0.5838716515648991,1.1593373863643408,0.157898738776918,0.5698592095430014,0.4978309065538607,0.7400309142438627,,0.5697240863551609,0.17758071524714708,0.2908294121920634,0.2351358889738284,0.6243762938794012,,0.5496740093608796,0.3261457516891695,0.49132406184923333,0.33556723695171703,0.22032347252587006,0.2530665991574286,0.7674073830046522,0.328459206612693,0.027806403552471836,0.3038307222778877,0.16990327939883607,0.25788456850371655,0.22544955401041591,0.42573127066494815,,0.3607632361143842,0.29570539686153574,0.41878088865561564,0.9072173974909843,0.18907776570097554,0.5979999683745844,,-0.0384721722615447,0.5268014799103684,,0.4688051859294779,0.19728687031502545,0.060824627982661465,-0.005669076326750042,,0.5418947475709033,0.42622080820582364,0.47811540718847356,0.6698991614684777,0.41279345927698313,0.5314176518399641,0.7219879902058784,-0.05482747801856994,0.0727905637880943,0.4048840348491809,-0.02627009703020714,0.1597630177983198,0.5145963556253935,0.43887986437033755,0.7070251539837644,0.7382342479619954,0.28938568063564,,-0.2358215081011891,0.39635266367379957,0.517244288380122,0.20328684737698924,,0.10008355752356228,0.5181745035786067,0.43584013136627914,,0.5169499997060493,0.46452438728240486,0.3656936692587329,0.48693407556236457,,0.46111790370025274,0.11265532446068338,0.6565473954597825,0.2976057328338454,0.5796613755522975,0.4548790660153497,-0.19612935649290125,0.34685049866861684,0.6725664851735071,,0.702852414816983,0.18748839075713955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,,0.22012120624092507,0.8393493811655888,0.6496252180754274,0.1488301642501587,0.21488318583505653,,0.16492337065859938,0.4450798058551915,0.12052893470552582,0.5729953405340753,0.5449263294359057,0.3684689680968758,0.12061550207538932,1.0205204243573325,0.10777601602794343,0.3663150573012006,0.5399548092234654,0.624951425008442,,0.34120320085571887,0.4212463911055295,0.27084849489644575,0.3668170747891764,0.5951553649692426,,0.5609571210480974,0.23322402319220373,0.6293658848492316,0.0048555937144787115,0.28047549869680294,0.32918208702475116,0.44248458096746546,0.2662487332429631,0.17017511490119275,0.25096548760417703,0.13261368894164996,0.2394735587205776,0.2080258966840703,0.4666440223427065,,0.2566887181276734,0.348158226314995,0.315266187894264,0.911834973185401,0.21329606281209024,0.27765073009763647,,-0.03681261056062417,0.29388484196590065,,0.33933803343428176,0.1378809918571191,0.11789625621805923,-0.32287548379247977,,0.3028414825589346,0.2983335842880994,0.3729784847781915,0.4135046675821074,0.45831984519738916,0.4274343956413743,0.6313071738137263,,,0.23539355480576987,-0.025101622267803426,0.2009165516255385,0.36029432515939036,0.4246120651858083,0.6174188596738911,0.5065941556096781,0.3124569595406238,,-0.3946321914964619,0.2991777186346512,0.2259112110327992,0.04238862142816037,,-0.03974033728173346,0.1546113153916009,0.3230190655873882,,0.3595199636369968,0.4318819352401745,0.34398686290540914,0.4260215038590598,,0.2799702810918974,0.058550849138535886,0.3354524846222738,0.28585753248635887,0.482452597462377,0.4296904437306825,-0.2603076645169752,0.29485535528790285,0.45204661720301675,,0.4299533860194337,0.17317818244008013,-0.0237317981683971,0.2959647692594999,0.23704385885893542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,,0.32322187983842654,0.6308593525747207,0.5962889534905716,0.22812202099456172,0.2960145783423749,,0.2762709694999345,0.6525288591062686,0.300970631611954,0.37937083298539936,0.4994862574052291,0.39552777806866657,0.29363755530495206,1.011841286658263,0.20777992922298177,0.5110303424863641,0.5437681963529051,0.7814399589064477,,0.5166636161216103,0.537319057503461,0.4100972786000819,0.3100270499835719,0.6334290328928541,,0.5592510710406965,0.32391654689138044,0.5006149006118084,-0.18808179869413427,0.2498171350017404,0.3283380797047973,0.6039637017075786,0.47262441611463807,0.10555666391299347,0.33428545756993044,0.09664472409089994,0.2849353243706879,0.23639154513829494,0.4152068689933391,,0.3296904930107153,0.4366364017354028,0.2942739999442214,0.9418504160138689,0.23629510144420002,0.4517999096894072,,-0.07269602387086055,0.44102552879209245,,0.5404540783666205,0.21003699400677417,0.12109416780633844,-0.4621764057894441,,0.3269447847544072,0.39131920762737055,0.5557182838767876,0.46876291701126427,0.4758405271166159,0.32383723284404753,0.6929853835857762,,,0.29304293109733537,0.06349227145630956,0.21848058693115618,0.3337183984179566,0.42057955962993987,0.6336576629502808,0.544456784196464,0.45072551247712195,,-0.2663780908113802,0.33320083721904153,0.25058917380514706,0.16837042869417965,,0.06005173927370425,0.23393267540138798,0.4104210995276783,,0.357748544338631,0.48355975034690457,0.392417906408283,0.4079778222567363,,0.29990945001986397,0.21359561047740372,0.22156731445682545,0.2920263149299728,0.40338184548924894,0.5476838176427649,-0.12589241811839993,0.2932120902127568,0.6571949187468075,,0.6331678622838726,0.2907599035377636,0.0013171526908129286,0.3201724925466422,0.19453370704337675,,0.7472684302301557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,0.29613308409387795,0.5796725102083183,0.6285403485486143,0.25263145597339737,0.21406663965310777,,0.42904452612896415,0.6263059996008129,0.34504162500744595,0.43957345411722787,0.4981081610424004,0.5507692370347164,0.2141831841981469,1.0877755668588371,0.1553853333750477,0.48790431541928986,0.6359853238510162,0.7877043556616729,,0.41358812158099173,0.46494929091455445,0.3029640189986515,0.3301100815443215,0.6266636299806555,,0.6180668985897368,0.35757527578639375,0.360391758975139,-0.10143400559063899,0.35944659329875733,0.3129367700048677,0.6064837429966066,0.38142825625107635,-0.002252595914799256,0.43220282200614535,0.11315207107634144,0.27786415445594664,0.26151505808979764,0.2924269660369892,,0.37131859972197867,0.452582175659654,0.35639645058138497,0.9604624674349548,0.34032629022321154,0.4996273735381017,,-0.047936515316338475,0.40773780734463116,,0.5852961854895341,0.24511229334749873,0.13871388899843148,-0.6128871172554077,,0.1747114931387531,0.5024115551521273,0.6574544761041765,0.43602318837471565,0.49475520491691716,0.33829521960915127,0.6446358588105834,,,0.044121260898283624,0.08508612210689384,0.1447413518788675,0.28622269640992787,0.4905068509791913,0.6782669791458987,0.5555873620716889,0.379993494969656,,-0.23329104662489075,0.4716841680451952,0.39284476139575586,0.11133210864588183,,-0.07810927530798882,0.24043210601915607,0.6131834408427216,,0.32107276917275895,0.4824415290892163,0.39363922677109564,0.4906552916452402,,0.3530709523047665,0.06555602783058447,0.12975534289698482,0.22506318336232042,0.37142371131248514,0.486437701924322,0.01430786190540254,0.34600771588868423,0.5291977953283679,,0.6654781188916148,0.32970906790604787,-0.024546955677891696,0.2383374454923456,0.060915879074385455,,0.569925385975239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,0.3362592272198077,0.7319720403827613,0.7790555937319655,0.38577853863435857,0.19966221607837695,,0.47726053929322704,0.8154785066631608,0.2677637689270937,0.6555004642139959,0.43751641395384716,0.6931658185405606,0.4538329486567887,1.0105089487062626,0.12207495401011559,0.4440465259966577,0.7791847739044317,0.601782345562048,,0.7173613589583082,0.4269203936481878,0.4390433138546282,0.3334057095665498,0.6243313335114721,,0.7260932264187778,0.31780655257515344,0.28349502440992763,0.009417294640513175,0.22512118929669045,0.5781940386201281,0.6646294684573684,0.2426445874237726,0.08886235069110972,0.3236159665234866,0.26162438255327747,0.2853279446795092,0.337869431762434,0.10266900836330363,,0.4232314072483416,0.4920288686939443,0.3693427545154859,0.8457032025536042,0.3076567688201302,0.6124834405552095,,0.07176085159563794,0.5568832924144329,,0.7440913198424733,0.0851731645283751,0.14383393778042997,-0.4947635847485388,,0.14160493903930502,0.6550955048438547,0.8025182657428711,0.425708103998226,0.48797966332556836,0.32734391339890573,0.7148428978795323,,,0.057959011004783005,0.14259061728927033,0.17896920892468718,0.24253408166944648,0.6501643118211732,0.8550383985766592,0.7116075518774089,0.3915462032145897,,-0.4339944795693394,0.6700739068773,0.4415655910578222,0.07876171218191085,,-0.00565203500966924,0.286310728969696,0.7307794467053486,,0.4966692586655827,0.5814794530909089,0.34109081731431073,0.5326493827635929,,0.3532859829138785,0.15281255400607965,0.13501770336274727,0.15941860841448596,0.3817398483054538,0.5503988560622558,0.002650896239494949,0.45111670998014125,0.7997882825504499,,0.9344134776864814,0.36394829312676075,0.31395033235573855,0.24086693379312213,-0.025946537674375197,,0.6178302562783926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,0.3556904819482551,0.9240889849548551,0.7163393596049682,0.4012587147745794,0.3611435912721757,,0.6056859005443596,0.8522467331880615,0.22755660376642556,0.6972911129417159,0.41943101579166453,0.5727477792387273,0.4407273680612091,0.9977994145992773,0.2709122303559532,0.5602682398135638,0.9346418804824199,0.708203223189517,,0.7280148921265084,0.598117663109123,0.3912943393381885,0.3720861965458268,0.6086985709480175,,0.5873196576814969,0.40131268740036885,0.21487827800682885,0.1955312594971136,0.11714420419939649,0.532384944376418,0.6288975008785489,0.14552075429574943,0.12683299709665888,0.23661022547465754,0.3078323114378234,0.4323565766062066,0.2736083294344139,0.14313553557058095,,0.4840018986040251,0.41226823339670116,0.288190042948575,0.9489674651149836,0.5493875094360287,0.5784867010648123,,0.18586273309533952,0.637116970598971,,0.7900715542747351,0.13465007236188137,0.1356136870836454,-0.40622309556671016,,0.11833219847460803,0.6592616757285977,0.8425546075087468,0.43652271673266607,0.46809524406186975,0.2613910585310883,0.8352338308511704,,,0.12359529394027353,0.2579400239489394,0.21763092853165694,0.21565233117221233,0.4063854181807542,0.5958437146897692,0.5407077562478703,0.47203127770076536,,-0.3441598152384402,0.5489429739049105,0.4744459517731595,0.14370746277796706,,0.05040434275723573,0.32577134636186134,0.7152869609915553,,0.5261915877014859,0.6675720987709135,0.3548870999673685,0.5601617435790517,,0.34316624479463737,0.18609182577852704,0.14736527527994092,0.11581374358544783,0.4385450590479931,0.5807210674198604,0.19603013027509644,0.5386811339225012,0.7149278658242147,,1.0539563491534822,0.3449782867011873,0.036111153514836535,0.1820502826795269,0.033162915089328976,,0.7127201316374043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
