,0,1,2,3,4,5,6,7,8,9
2017-03-31,VEDL,BIOCON,BAJAJFINSV,JPASSOCIAT,HINDALCO,JINDALSTEL,HINDPETRO,IOC,MUTHOOTFIN,RECLTD
2017-04-30,VEDL,BAJAJFINSV,RECLTD,SUNTV,HINDALCO,ADANITRANS,HINDPETRO,FEDERALBNK,BIOCON,IOC
2017-05-31,RECLTD,BAJAJFINSV,SUNTV,JPASSOCIAT,ADANITRANS,VEDL,IOC,BANKINDIA,PNB,FEDERALBNK
2017-06-30,ADANITRANS,RECLTD,SUNTV,IOC,MRF,FEDERALBNK,VEDL,PEL,BAJAJFINSV,IBULHSGFIN
2017-07-31,ADANITRANS,MRF,SUNTV,JPASSOCIAT,FEDERALBNK,PEL,RECLTD,L&TFH,IGL,ADANIENT
2017-08-31,ADANITRANS,JPASSOCIAT,ADANIENT,MRF,L&TFH,JINDALSTEL,VEDL,FEDERALBNK,BAJAJFINSV,SUNTV
2017-09-30,ADANITRANS,JPASSOCIAT,L&TFH,ADANIENT,VEDL,HINDPETRO,JINDALSTEL,BAJAJFINSV,TATASTEEL,BAJFINANCE
2017-10-31,ADANITRANS,L&TFH,JINDALSTEL,ADANIENT,IGL,BAJFINANCE,VEDL,TATASTEEL,HINDALCO,JPASSOCIAT
2017-11-30,ADANITRANS,JINDALSTEL,JPASSOCIAT,L&TFH,TITAN,BAJFINANCE,ADANIENT,IGL,RELIANCE,TATACONSUM
2017-12-31,ADANITRANS,TITAN,JINDALSTEL,TATACONSUM,JPASSOCIAT,DLF,JUBLFOOD,BAJFINANCE,L&TFH,ADANIENT
2018-01-31,ADANITRANS,JINDALSTEL,TATACONSUM,TITAN,JPASSOCIAT,JUBLFOOD,DLF,ADANIENT,SUNTV,IGL
2018-02-28,ADANITRANS,ADANIENT,TATACONSUM,JINDALSTEL,JUBLFOOD,TITAN,LTI,DLF,BIOCON,IBULHSGFIN
2018-03-31,ADANITRANS,DMART,JINDALSTEL,LTI,ADANIENT,TATACONSUM,JUBLFOOD,TITAN,ASHOKLEY,JSWSTEEL
2018-04-30,ADANITRANS,JUBLFOOD,TITAN,LTI,JINDALSTEL,DMART,DIVISLAB,TATACONSUM,ASHOKLEY,MCDOWELL-N
2018-05-31,JUBLFOOD,BIOCON,DIVISLAB,TITAN,JINDALSTEL,TATACONSUM,LTI,DMART,ASHOKLEY,TECHM
2018-06-30,JUBLFOOD,LTI,BIOCON,DMART,TECHM,MPHASIS,JINDALSTEL,TATACONSUM,TITAN,DIVISLAB
2018-07-31,LTI,JUBLFOOD,MPHASIS,PAGEIND,TECHM,ABBOTINDIA,TATACONSUM,DMART,TITAN,BIOCON
2018-08-31,LTI,JUBLFOOD,MPHASIS,ABBOTINDIA,BIOCON,ADANIENT,DIVISLAB,PAGEIND,TECHM,DMART
2018-09-30,ADANIENT,LTI,JUBLFOOD,MPHASIS,ABBOTINDIA,BIOCON,PAGEIND,TCS,TECHM,UBL
2018-10-31,LTI,BIOCON,ABBOTINDIA,ADANIENT,MPHASIS,TCS,PAGEIND,INFY,TECHM,JUBLFOOD
2018-11-30,ADANIENT,LTI,TECHM,BIOCON,TCS,DIVISLAB,ABBOTINDIA,INFY,BAJFINANCE,MPHASIS
2018-12-31,ADANIENT,TCS,BAJFINANCE,TECHM,JUBLFOOD,LTI,MPHASIS,NESTLEIND,BRITANNIA,ABBOTINDIA
